route:DELETE /agents/keys/:keyId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:DELETE /agents/tasks/:taskId/assign/:agentId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:DELETE /tasks/:taskId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:DELETE /tasks/:taskId/checklist/:itemId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:DELETE /tasks/:taskId/dependencies/:depId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /agents/tasks: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /agents/workspace/:workspaceId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/activity: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/checklist: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/dependencies: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/dependency-graph: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/evidence: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/field-changes: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/:taskId/readiness: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/digest: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/project/:projectId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/project/:projectId/index: verified — served at head, prefix '/api/v1' consistent, controller registered
route:GET /tasks/project/:projectId/staleness: verified — served at head, prefix '/api/v1' consistent, controller registered
route:PATCH /tasks/:taskId/checklist/:itemId: verified — served at head, prefix '/api/v1' consistent, controller registered
route:PATCH /tasks/:taskId/status: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /agents: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /agents/:agentId/keys: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /agents/keys/:keyId/rotate: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /agents/keys/self/revoke: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /agents/tasks/:taskId/assign: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/checklist: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/comments: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/dependencies: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/evidence: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/field-ack: verified — served at head, prefix '/api/v1' consistent, controller registered
route:POST /tasks/:taskId/redactions: verified — served at head, prefix '/api/v1' consistent, controller registered
